sku,titulo,artista,precio_clp,stock,valor_inventario_total,segmento_disponibilidad
VIN-002,THE DARK SIDE OF THE MOON,PINK FLOYD,-12000.0,8,-96000.0,STOCK SALUDABLE
VIN-011,THE NEW ABNORMAL,THE STROKES,-5000.0,9,-45000.0,STOCK SALUDABLE
VIN-163,HIS N HERS,PULP,-35000.0,0,70000.0,STOCK CRITICO
VIN-176,GRAND PRIX,TEENAGE FANCLUB,-33000.0,12,-396000.0,STOCK SALUDABLE
VIN-191,EL CAMINO,THE BLACK KEYS,-36000.0,22,-792000.0,STOCK SALUDABLE
VIN-201,THE FALL,NORAH JONES,-31000.0,5,-155000.0,STOCK CRITICO
VIN-213,AUDIO VIDEO DISCO,JUSTICE,-35000.0,7,-245000.0,STOCK SALUDABLE
VIN-222,HOTEL,MOBY,-34000.0,0,-0.0,AGOTADO
VIN-230,PROTECTION,MASSIVE ATTACK,-36000.0,8,-288000.0,STOCK SALUDABLE
VIN-243,I CARE BECAUSE YOU DO,APHEX TWIN,-36000.0,8,-288000.0,STOCK SALUDABLE
