sku,titulo,artista,precio_clp,stock,valor_inventario_total,segmento_disponibilidad
VIN-009,KID A,RADIOHEAD,39990,-3.0,-119970.0,STOCK CRITICO
VIN-016,BLUE LINES,MASSIVE ATTACK,34000,-1.0,-34000.0,STOCK CRITICO
VIN-027,TURN ON THE BRIGHT LIGHTS,INTERPOL,33000,-5.0,-165000.0,STOCK CRITICO
VIN-040,TRANQUILITY BASE HOTEL & CASINO,ARCTIC MONKEYS,36000,-2.0,-72000.0,STOCK CRITICO
VIN-051,THE NOW NOW,GORILLAZ,33000,-1.0,-33000.0,STOCK CRITICO
VIN-059,THE QUEEN IS DEAD,THE SMITHS,36000,-4.0,-144000.0,STOCK CRITICO
VIN-071,WAR,U2,32000,-2.0,-64000.0,STOCK CRITICO
VIN-081,NO CODE,PEARL JAM,36000,-1.0,-36000.0,STOCK CRITICO
VIN-091,CORE,STONE TEMPLE PILOTS,35000,-3.0,-105000.0,STOCK CRITICO
VIN-102,JUST FOR A DAY,SLOWDIVE,35000,-2.0,-70000.0,STOCK CRITICO
VIN-109,BLONDE ON BLONDE,BOB DYLAN,45000,-1.0,-45000.0,STOCK CRITICO
VIN-117,THE HISSING OF SUMMER LAWNS,JONI MITCHELL,36000,-3.0,-108000.0,STOCK CRITICO
VIN-125,CHAIRS MISSING,WIRE,36000,-2.0,-72000.0,STOCK CRITICO
VIN-133,JORDAN: THE COMEBACK,PREFAB SPROUT,38000,-5.0,-190000.0,STOCK CRITICO
VIN-141,PILLS N THRILLS AND BELLYACHES,HAPPY MONDAYS,35000,-1.0,-35000.0,STOCK CRITICO
VIN-148,PURE PHASE,SPIRITUALIZED,36000,-2.0,-72000.0,STOCK CRITICO
VIN-155,STANDING ON THE SHOULDER OF GIANTS,OASIS,36000,-4.0,-144000.0,STOCK CRITICO
VIN-163,HIS N HERS,PULP,-35000,-2.0,70000.0,STOCK CRITICO
VIN-170,EVERYTHING MUST GO,MANIC STREET PREACHERS,34000,-3.0,-102000.0,STOCK CRITICO
VIN-177,SONGS FROM NORTHERN BRITAIN,TEENAGE FANCLUB,34000,-1.0,-34000.0,STOCK CRITICO
VIN-184,THE HOUR OF BEWILDERBEAST,BADLY DRAWN BOY,35000,-2.0,-70000.0,STOCK CRITICO
